"Fact","Fact Note","Los Angeles County, California","Value Note for Los Angeles County, California"
"Population estimates, July 1, 2019,  (V2019)","","10,039,107",""
"Population estimates base, April 1, 2010,  (V2019)","","9,819,968",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.2%",""
"Population, Census, April 1, 2010","","9,818,605",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","21.7%",""
"Persons 65 years and over, percent","","13.6%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","70.8%",""
"Black or African American alone, percent","(a)","9.0%",""
"American Indian and Alaska Native alone, percent","(a)","1.4%",""
"Asian alone, percent","(a)","15.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent","(b)","48.6%",""
"White alone, not Hispanic or Latino, percent","","26.1%",""
"Veterans, 2014-2018","","270,462",""
"Foreign born persons, percent, 2014-2018","","34.2%",""
"Housing units,  July 1, 2019,  (V2019)","","3,579,329",""
"Owner-occupied housing unit rate, 2014-2018","","45.8%",""
"Median value of owner-occupied housing units, 2014-2018","","$543,400",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,417",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$584",""
"Median gross rent, 2014-2018","","$1,390",""
"Building permits, 2019","","21,565",""
"Households, 2014-2018","","3,306,109",""
"Persons per household, 2014-2018","","3.00",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","89.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","56.6%",""
"Households with a computer, percent, 2014-2018","","90.4%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","82.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","78.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","31.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","6.1%",""
"Persons  without health insurance, under age 65 years, percent","","10.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","64.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","57.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","22,965,135",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","67,261,267",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","163,829,606",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","199,804,798",""
"Total retail sales, 2012 ($1,000)","(c)","121,389,378",""
"Total retail sales per capita, 2012","(c)","$12,184",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","31.3",""
"Median household income (in 2018 dollars), 2014-2018","","$64,251",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$32,469",""
"Persons in poverty, percent","","14.2%",""
"Total employer establishments, 2017","","275,316",""
"Total employment, 2017","","3,821,173",""
"Total annual payroll, 2017 ($1,000)","","224,580,111",""
"Total employment, percent change, 2016-2017","","-1.3%",""
"Total nonemployer establishments, 2018","","1,107,080",""
"All firms, 2012","","1,146,701",""
"Men-owned firms, 2012","","601,676",""
"Women-owned firms, 2012","","439,513",""
"Minority-owned firms, 2012","","631,218",""
"Nonminority-owned firms, 2012","","481,643",""
"Veteran-owned firms, 2012","","69,608",""
"Nonveteran-owned firms, 2012","","1,044,750",""
"Population per square mile, 2010","","2,419.6",""
"Land area in square miles, 2010","","4,057.88",""
"FIPS Code","","""06037""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
